时间,457+508,505+457+508,505+457
0,-60.96164,-90.4258,-68.61302
0.1,-62.26416205,-96.54127184,-71.26127076
0.2,-63.11770568,-101.6704951,-73.07744032
0.3,-63.52162632,-105.7453671,-74.0138329
0.4,-63.47857061,-108.7106101,-74.03450038
0.5,-62.99441938,-110.5246278,-73.11597975
0.6,-62.07820682,-111.1601735,-71.24784934
0.7,-60.74201669,-110.6048184,-68.43309364
0.8,-59.00085665,-108.8612129,-64.68826933
0.9,-56.8725118,-105.9471348,-60.04346811
1,-54.37737879,-101.895324,-54.5420753
1.1,-51.53828199,-96.75310396,-48.24032583
1.2,-48.38027334,-90.58179529,-41.20666307
1.3,-44.93041746,-83.4559293,-33.52090825
1.4,-41.21756397,-75.46227179,-25.27325186
1.5,-37.27210887,-66.69867126,-16.56308082
1.6,-33.12574688,-57.27274772,-7.497657779
1.7,-28.81121678,-47.30044086,1.809328347
1.8,-24.36204191,-36.90443863,11.23931993
1.9,-19.81226764,-26.21250884,20.67053348
2,-15.19619819,-15.35575807,29.97966375
2.1,-10.5481346,-4.466843356,39.0436239
2.2,-5.902116038,6.321837428,47.74129607
2.3,-1.291666319,16.87994991,55.95526607
2.4,3.250452343,27.08099597,63.57351643
2.5,7.692476588,36.80402896,70.49105228
2.6,12.00386837,45.93528635,76.61143559
2.7,16.15552899,54.36971598,81.84820447
2.8,20.11999917,62.01237357,86.12615615
2.9,23.87164369,68.77967147,89.38247379
3,27.38681947,74.60046023,91.56768008
3.1,30.64402583,79.41692783,92.64640267
3.2,33.62403597,83.18530346,92.59793964
3.3,36.31000892,85.87635628,91.4166159
3.4,38.68758136,87.47568225,89.11192481
3.5,40.74493864,87.98377556,85.70845214
3.6,42.4728649,87.41588429,81.24558324
3.7,43.8647721,85.80165334,75.77699705
3.8,44.91670788,83.18456067,69.36995411
3.9,45.62734269,79.62115608,62.1043887
4,45.99793639,75.18011483,54.07181824
4.1,46.03228488,69.94112085,45.37408561
4.2,45.73664753,63.99359719,36.12195301
4.3,45.11965627,57.43530339,26.43356765
4.4,44.19220717,50.37082131,16.43282191
4.5,42.9673358,42.90995292,6.24763205
4.6,41.46007756,35.16605445,-3.991839354
4.7,39.68731423,27.25433239,-14.15499108
4.8,37.66760834,19.29012711,-24.11259449
4.9,35.42102674,11.38721033,-33.73858179
5,32.96895509,3.656121794,-42.9117851
5.1,30.33390482,-3.79742961,-51.51760089
5.2,27.53931428,-10.87407662,-59.44955562
5.3,24.60934587,-17.48219374,-66.61074965
5.4,21.56868078,-23.53916621,-72.91515874
5.5,18.44231307,-28.97250923,-78.28877429
5.6,15.25534497,-33.72082137,-82.67056614
5.7,12.03278477,-37.73455874,-86.0132544
5.8,8.79934929,-40.97661909,-88.28387962
5.9,5.579272155,-43.42272838,-89.46416378
6,2.396119687,-45.06162512,-89.55065763
6.1,-0.727384393,-45.89504107,-88.55467321
6.2,-3.769524013,-45.93748012,-86.50200361
6.3,-6.709744358,-45.21580012,-83.43243522
6.4,-9.528792946,-43.76860567,-79.3990607
6.5,-12.20884716,-41.64546263,-74.46740421
6.6,-14.7336274,-38.90594794,-68.71437272
6.7,-17.08849513,-35.61855073,-62.22705031
6.8,-19.26053527,-31.85944318,-55.10135426
6.9,-21.2386224,-27.71114112,-47.44057394
7,-23.01347061,-23.26107658,-39.35381519
7.1,-24.57766673,-18.60010511,-30.95437399
7.2,-25.92568706,-13.8209722,-22.35806441
7.3,-27.05389762,-9.016763219,-13.68152638
7.4,-27.96053822,-4.279361735,-5.040538631
7.5,-28.64569091,0.302059418,3.451637582
7.6,-29.11123312,4.642490381,11.68585928
7.7,-29.36077634,8.662457033,19.55862339
7.8,-29.3995911,12.28929278,26.97348675
7.9,-29.23451908,15.45828964,33.84236379
8,-28.87387337,18.11371073,40.0866833
8.1,-28.32732802,20.2096489,45.63838786
8.2,-27.60579801,21.71071831,50.440762
8.3,-26.7213108,22.59256882,54.44907825
8.4,-25.6868709,22.84221586,57.63105266
8.5,-24.51631866,22.45818128,59.96710465
8.6,-23.22418471,21.45044387,61.45041929
8.7,-21.82554137,19.84020123,62.08681273
8.8,-20.33585256,17.6594478,61.89440508
8.9,-18.77082337,14.95037646,60.90310768
9,-17.14625094,11.76461438,59.15393469
9.1,-15.47787769,8.162306096,56.69815166
9.2,-13.78124841,4.21105925,53.59627606
9.3,-12.07157244,-0.01522931,49.91694715
9.4,-10.36359193,-4.437647559,45.73568445
9.5,-8.671457556,-8.973621422,41.13355552
9.6,-7.008612504,-13.53832469,36.19577542
9.7,-5.387685806,-18.04612261,31.01026076
9.8,-3.82039576,-22.41202554,25.66616201
9.9,-2.317464247,-26.55312893,20.25239792
10,-0.888542531,-30.39001624,14.85621557
10.1,0.457850927,-33.8481019,9.561799134
10.2,1.714380249,-36.85889269,4.448949359
10.3,2.874929241,-39.36114705,-0.408145381
10.4,3.93462565,-41.30191357,-4.942027419
10.5,4.889852554,-42.63743198,-9.092960211
10.6,5.738246956,-43.33388226,-12.80977584
10.7,6.478685805,-43.36796959,-16.050567
10.8,7.111259743,-42.72733613,-18.78321346
10.9,7.637235024,-41.4107929,-20.98573579
11,8.059004135,-39.42836831,-22.64647204
11.1,8.380025764,-36.8011725,-23.76407584
11.2,8.604754843,-33.56108017,-24.34733765
11.3,8.738563487,-29.75023682,-24.41483334
11.4,8.787653733,-25.42039683,-23.99440756
11.5,8.758963037,-20.63210401,-23.12250178
11.6,8.660063575,-15.45372821,-21.84333939
11.7,8.499056411,-9.960373446,-20.20798284
11.8,8.284461665,-4.232675554,-18.27327944
11.9,8.02510583,1.644491245,-16.10071465
12,7.730007401,7.583377803,-13.75519284
12.1,7.408262006,13.4947714,-11.3037668
12.2,7.068928208,19.28943211,-8.814338027
12.3,6.720915139,24.87953087,-6.354350242
12.4,6.372873114,30.18006594,-3.989498641
12.5,6.033088322,35.11023485,-1.782477051
12.6,5.709382652,39.59473942,0.208215483
12.7,5.409019663,43.56500298,1.929388212
12.8,5.138617646,46.96027973,3.334173212
12.9,4.904070636,49.72863849,4.38292349
13,4.710478166,51.8278047,5.043979241
13.1,4.562084476,53.22584715,5.294289022
13.2,4.462227772,53.90169802,5.119875073
13.3,4.413300058,53.84549801,4.516134622
13.4,4.41671793,53.05876065,3.487971769
13.5,4.472904647,51.5543532,2.049757402
13.6,4.581283657,49.35629421,0.225117462
