时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.002,0.002,1.23,0.373,0,0,6,60,2,0
1,0.003,0.005,0.006,4.692,0.53,0.006,0,6,60,2,0
1.5,0.008,0.004,0.009,7.513,0.675,0.011,0,6,60,2,0
2,0.009,0,0.009,7.449,0.69,0.01,0,6,60,2,0
2.5,0.004,-0.002,0.005,3.697,0.539,0.004,0,6,60,2,0
3,-0.001,0.002,-0.002,-2.608,0.256,-0.006,0,6,60,2,0
3.5,0,0.01,-0.009,-9.762,-0.121,-0.018,0,6,60,2,0
4,0.008,0.014,-0.016,-15.945,-0.545,-0.027,0,6,60,2,0
4.5,0.019,0.011,-0.022,-20.6,-1.031,-0.033,0,6,60,2,0
5,0.025,0,-0.024,-22.188,-1.496,-0.034,0,6,60,2,0
5.5,0.02,-0.012,-0.023,-19.383,-1.849,-0.027,0,6,60,2,0
6,0.008,-0.014,-0.015,-10.93,-1.958,-0.01,0,6,60,2,0
6.5,0,-0.004,-0.004,0.833,-1.87,0.012,0,6,60,2,0
7,0.004,0.006,0.007,12.432,-1.648,0.032,0,6,60,2,0
7.5,0.016,0.009,0.017,22.583,-1.239,0.049,0,6,60,2,0
8,0.028,0,0.027,31.01,-0.585,0.062,0,6,60,2,0
8.5,0.032,-0.018,0.035,37.795,0.356,0.07,0,6,60,2,0
9,0.023,-0.04,0.044,43.836,1.638,0.074,0,6,60,2,0
9.5,0,-0.056,0.054,49.871,3.27,0.077,0,6,60,2,0
10,-0.034,-0.058,0.065,56.193,5.219,0.078,0,6,60,2,0
10.5,-0.067,-0.038,0.074,60.416,7.273,0.075,0,6,60,2,0
11,-0.083,0,0.08,60.852,9.26,0.065,0,6,60,2,0
11.5,-0.072,0.041,0.08,55.914,10.963,0.046,0,6,60,2,0
12,-0.038,0.067,0.074,46.144,12.261,0.021,0,6,60,2,0
12.5,0,0.066,0.064,32.694,13.025,-0.009,0,6,60,2,0
13,0.027,0.047,0.052,18.816,13.26,-0.036,0,6,60,2,0
13.5,0.036,0.021,0.04,6.562,12.912,-0.058,0,6,60,2,0
14,0.03,0,0.029,-2.597,11.974,-0.07,0,6,60,2,0
14.5,0.018,-0.01,0.02,-8.415,10.436,-0.073,0,6,60,2,0
15,0.005,-0.009,0.01,-12.341,8.269,-0.068,0,6,60,2,0
15.5,0,-0.001,0.001,-15.235,5.549,-0.059,0,6,60,2,0
16,0.005,0.009,-0.01,-17.401,2.417,-0.046,0,6,60,2,0
16.5,0.019,0.011,-0.021,-19.827,-1.003,-0.032,0,6,60,2,0
17,0.034,0,-0.033,-22.899,-4.534,-0.019,0,6,60,2,0
17.5,0.041,-0.023,-0.045,-26.64,-7.989,-0.007,0,6,60,2,0
18,0.029,-0.051,-0.057,-30.133,-11.14,0.004,0,6,60,2,0
18.5,0,-0.069,-0.067,-33.28,-13.84,0.012,0,6,60,2,0
19,-0.037,-0.065,-0.072,-33.698,-15.813,0.022,0,6,60,2,0
19.5,-0.063,-0.036,-0.07,-28.282,-16.782,0.038,0,6,60,2,0
20,-0.062,0,-0.06,-17.437,-16.685,0.058,0,6,60,2,0
20.5,-0.04,0.023,-0.045,-4.079,-15.589,0.077,0,6,60,2,0
21,-0.015,0.025,-0.028,8.122,-13.636,0.089,0,6,60,2,0
21.5,0,0.014,-0.013,16.805,-10.956,0.091,0,6,60,2,0
22,0,-0.001,0.001,22.814,-7.586,0.084,0,6,60,2,0
22.5,-0.013,-0.007,0.014,26.012,-3.72,0.069,0,6,60,2,0
23,-0.025,0,0.025,25.752,0.381,0.047,0,6,60,2,0
23.5,-0.03,0.017,0.034,23.644,4.548,0.02,0,6,60,2,0
24,-0.022,0.038,0.043,21.793,8.606,-0.006,0,6,60,2,0
24.5,0,0.053,0.052,21.13,12.327,-0.027,0,6,60,2,0
25,0.03,0.052,0.059,19.875,15.372,-0.046,0,6,60,2,0
25.5,0.057,0.033,0.064,18.951,17.632,-0.06,0,6,60,2,0
26,0.07,0,0.068,19.26,19.016,-0.067,0,6,60,2,0
26.5,0.063,-0.036,0.07,20.829,19.463,-0.066,0,6,60,2,0
27,0.036,-0.062,0.07,22.006,18.886,-0.061,0,6,60,2,0
27.5,0,-0.068,0.066,22.206,17.335,-0.052,0,6,60,2,0
28,-0.031,-0.053,0.059,22.016,14.965,-0.04,0,6,60,2,0
28.5,-0.044,-0.026,0.05,20.134,11.846,-0.026,0,6,60,2,0
29,-0.038,0,0.036,16.311,8.164,-0.014,0,6,60,2,0
29.5,-0.018,0.01,0.02,10.375,4.099,-0.003,0,6,60,2,0
30,-0.002,0.003,0.003,3.974,-0.053,0.008,0,6,60,2,0
30.5,0,-0.011,-0.011,-0.176,-3.952,0.021,0,6,60,2,0
31,-0.011,-0.019,-0.021,-1.596,-7.392,0.037,0,6,60,2,0
31.5,-0.024,-0.014,-0.027,-0.337,-10.178,0.055,0,6,60,2,0
32,-0.029,0,-0.028,4.055,-12.1,0.073,0,6,60,2,0
32.5,-0.02,0.012,-0.022,12.635,-12.943,0.094,0,6,60,2,0
33,-0.007,0.011,-0.013,22.867,-12.743,0.112,0,6,60,2,0
33.5,0,0.001,-0.001,32.455,-11.535,0.124,0,6,60,2,0
34,-0.006,-0.011,0.012,39.87,-9.398,0.126,0,6,60,2,0
34.5,-0.021,-0.012,0.023,43.795,-6.485,0.118,0,6,60,2,0
