时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.003,0.001,1.051,0,0.005,0,4,15,6,0
1,0,0.002,0.001,1.011,0,0.005,0,4,15,6,0
1.5,0,0.002,0.001,0.769,-0.002,0.004,0,4,15,6,0
2,0,0.001,0,0.375,-0.007,0.002,0,4,15,6,0
2.5,0,0,0,-0.09,-0.016,0,0,4,15,6,0
3,-0.001,-0.001,-0.001,-0.533,-0.029,-0.002,0,4,15,6,0
3.5,-0.002,-0.002,-0.002,-0.891,-0.051,-0.003,0,4,15,6,0
4,-0.003,-0.002,-0.002,-1.104,-0.083,-0.004,0,4,15,6,0
4.5,-0.003,-0.002,-0.002,-1.113,-0.113,-0.004,0,4,15,6,0
5,-0.003,-0.001,-0.002,-0.928,-0.142,-0.002,0,4,15,6,0
5.5,-0.003,-0.001,-0.002,-0.598,-0.17,0,0,4,15,6,0
6,-0.002,0,-0.001,-0.205,-0.199,0.002,0,4,15,6,0
6.5,-0.002,0,-0.001,0.165,-0.227,0.005,0,4,15,6,0
7,-0.001,0,-0.001,0.393,-0.27,0.007,0,4,15,6,0
7.5,-0.002,0,-0.001,0.44,-0.32,0.008,0,4,15,6,0
8,-0.002,0.001,-0.001,0.307,-0.375,0.008,0,4,15,6,0
8.5,-0.003,0.002,-0.002,0.067,-0.419,0.008,0,4,15,6,0
9,-0.003,0.003,-0.003,-0.207,-0.444,0.007,0,4,15,6,0
9.5,-0.004,0.004,-0.003,-0.456,-0.448,0.006,0,4,15,6,0
10,-0.004,0.005,-0.003,-0.737,-0.467,0.004,0,4,15,6,0
10.5,-0.004,0.006,-0.004,-1.07,-0.516,0.004,0,4,15,6,0
11,-0.003,0.008,-0.005,-1.382,-0.589,0.003,0,4,15,6,0
11.5,-0.003,0.01,-0.006,-1.645,-0.69,0.004,0,4,15,6,0
12,-0.002,0.012,-0.007,-1.847,-0.824,0.005,0,4,15,6,0
12.5,0,0.013,-0.008,-1.946,-0.978,0.007,0,4,15,6,0
13,0.002,0.014,-0.008,-1.872,-1.124,0.01,0,4,15,6,0
13.5,0.004,0.015,-0.009,-1.686,-1.27,0.014,0,4,15,6,0
14,0.006,0.014,-0.009,-1.407,-1.396,0.017,0,4,15,6,0
14.5,0.008,0.013,-0.009,-1.029,-1.476,0.021,0,4,15,6,0
15,0.009,0.012,-0.009,-0.666,-1.52,0.023,0,4,15,6,0
15.5,0.01,0.01,-0.008,-0.423,-1.536,0.025,0,4,15,6,0
