时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
1250,-0.005,-0.002,-0.005,-0.4,-1.351,0.009,0,5,45,6,0
1250.5,-0.006,0,-0.006,0.401,-1.768,0.015,0,5,45,6,0
1251,-0.006,0.002,-0.006,1.398,-2.037,0.02,0,5,45,6,0
1251.5,-0.004,0.004,-0.005,2.385,-2.147,0.023,0,5,45,6,0
1252,-0.002,0.004,-0.004,2.842,-2.129,0.024,0,5,45,6,0
1252.5,0,0.004,-0.004,2.85,-1.965,0.023,0,5,45,6,0
1253,0.001,0.003,-0.003,2.526,-1.662,0.02,0,5,45,6,0
1253.5,0.002,0.002,-0.002,1.965,-1.241,0.015,0,5,45,6,0
1254,0.001,0,-0.001,1.261,-0.733,0.009,0,5,45,6,0
1254.5,0,0,0,0.398,-0.189,0.003,0,5,45,6,0
1255,-0.001,0,0.001,-0.565,0.348,-0.004,0,5,45,6,0
1255.5,-0.001,0.001,0.001,-1.393,0.851,-0.01,0,5,45,6,0
1256,-0.001,0.003,0.003,-1.446,1.34,-0.014,0,5,45,6,0
1256.5,0,0.006,0.006,-0.55,1.797,-0.016,0,5,45,6,0
1257,0.004,0.009,0.009,0.954,2.179,-0.014,0,5,45,6,0
1257.5,0.009,0.009,0.012,2.7,2.464,-0.012,0,5,45,6,0
1258,0.015,0.006,0.015,4.328,2.633,-0.009,0,5,45,6,0
1258.5,0.018,0,0.016,5.349,2.662,-0.006,0,5,45,6,0
1259,0.016,-0.007,0.016,5.526,2.547,-0.005,0,5,45,6,0
1259.5,0.011,-0.011,0.015,5.121,2.327,-0.004,0,5,45,6,0
1260,0.005,-0.012,0.012,4.071,1.996,-0.005,0,5,45,6,0
1260.5,0,-0.009,0.009,2.437,1.562,-0.006,0,5,45,6,0
1261,-0.002,-0.004,0.004,0.324,1.031,-0.007,0,5,45,6,0
1261.5,0.001,0.001,-0.001,-1.914,0.434,-0.009,0,5,45,6,0
1262,0.005,0.002,-0.005,-3.518,-0.156,-0.008,0,5,45,6,0
1262.5,0.008,0,-0.008,-4.113,-0.701,-0.006,0,5,45,6,0
1263,0.009,-0.004,-0.009,-3.774,-1.182,-0.001,0,5,45,6,0
1263.5,0.008,-0.008,-0.01,-3.225,-1.636,0.004,0,5,45,6,0
1264,0.004,-0.011,-0.011,-2.682,-2.033,0.009,0,5,45,6,0
1264.5,0,-0.012,-0.011,-2.207,-2.346,0.012,0,5,45,6,0
1265,-0.005,-0.012,-0.012,-2.114,-2.584,0.014,0,5,45,6,0
1265.5,-0.01,-0.01,-0.013,-2.511,-2.739,0.015,0,5,45,6,0
1266,-0.014,-0.006,-0.014,-3.269,-2.799,0.013,0,5,45,6,0
1266.5,-0.016,0,-0.015,-4.225,-2.765,0.01,0,5,45,6,0
1267,-0.016,0.007,-0.016,-5.259,-2.647,0.006,0,5,45,6,0
1267.5,-0.013,0.013,-0.016,-6.194,-2.458,0.002,0,5,45,6,0
1268,-0.007,0.017,-0.016,-6.887,-2.212,-0.001,0,5,45,6,0
1268.5,0,0.018,-0.016,-7.495,-1.958,-0.005,0,5,45,6,0
1269,0.007,0.016,-0.016,-7.99,-1.713,-0.008,0,5,45,6,0
1269.5,0.012,0.012,-0.016,-8.452,-1.512,-0.011,0,5,45,6,0
1270,0.015,0.006,-0.015,-8.508,-1.331,-0.013,0,5,45,6,0
1270.5,0.016,0,-0.015,-8.347,-1.209,-0.013,0,5,45,6,0
1271,0.014,-0.006,-0.014,-7.716,-1.113,-0.012,0,5,45,6,0
1271.5,0.009,-0.009,-0.012,-6.729,-1.054,-0.01,0,5,45,6,0
1272,0.005,-0.011,-0.011,-5.762,-1.051,-0.007,0,5,45,6,0
1272.5,0,-0.011,-0.01,-4.817,-1.08,-0.005,0,5,45,6,0
1273,-0.004,-0.009,-0.009,-3.965,-1.131,-0.002,0,5,45,6,0
1273.5,-0.007,-0.007,-0.009,-3.663,-1.233,0,0,5,45,6,0
1274,-0.01,-0.004,-0.01,-4.009,-1.379,0,0,5,45,6,0
1274.5,-0.013,0,-0.012,-4.989,-1.568,-0.001,0,5,45,6,0
1275,-0.014,0.006,-0.014,-6.406,-1.789,-0.003,0,5,45,6,0
1275.5,-0.013,0.013,-0.017,-7.612,-1.989,-0.005,0,5,45,6,0
1276,-0.007,0.017,-0.017,-7.703,-2.09,-0.004,0,5,45,6,0
1276.5,0,0.017,-0.016,-6.679,-2.099,-0.002,0,5,45,6,0
1277,0.006,0.013,-0.013,-4.836,-2.017,0.003,0,5,45,6,0
1277.5,0.008,0.008,-0.01,-2.733,-1.871,0.007,0,5,45,6,0
1278,0.006,0.003,-0.006,-0.347,-1.618,0.012,0,5,45,6,0
1278.5,0.002,0,-0.002,1.94,-1.278,0.015,0,5,45,6,0
1279,-0.002,0.001,0.002,3.74,-0.865,0.017,0,5,45,6,0
1279.5,-0.003,0.003,0.004,4.698,-0.413,0.016,0,5,45,6,0
1280,-0.002,0.006,0.006,4.643,0.051,0.012,0,5,45,6,0
1280.5,0,0.007,0.006,3.622,0.495,0.006,0,5,45,6,0
1281,0.003,0.006,0.006,2.249,0.933,-0.001,0,5,45,6,0
1281.5,0.005,0.005,0.006,1.075,1.359,-0.008,0,5,45,6,0
1282,0.007,0.003,0.007,0.31,1.742,-0.013,0,5,45,6,0
1282.5,0.008,0,0.007,-0.109,2.04,-0.016,0,5,45,6,0
1283,0.007,-0.003,0.007,-0.479,2.201,-0.018,0,5,45,6,0
1283.5,0.005,-0.005,0.007,-1.021,2.194,-0.02,0,5,45,6,0
1284,0.002,-0.005,0.005,-1.837,2.004,-0.021,0,5,45,6,0
1284.5,0,-0.002,0.002,-2.994,1.624,-0.021,0,5,45,6,0
1285,0.001,0.002,-0.002,-4.442,1.066,-0.02,0,5,45,6,0
1285.5,0.005,0.005,-0.006,-6.052,0.352,-0.019,0,5,45,6,0
1286,0.011,0.005,-0.011,-7.547,-0.471,-0.017,0,5,45,6,0
1286.5,0.017,0,-0.016,-8.702,-1.357,-0.013,0,5,45,6,0
1287,0.019,-0.008,-0.019,-9.043,-2.22,-0.007,0,5,45,6,0
1287.5,0.016,-0.016,-0.021,-8.437,-3.002,0.001,0,5,45,6,0
1288,0.009,-0.022,-0.022,-7.05,-3.658,0.01,0,5,45,6,0
1288.5,0,-0.023,-0.021,-4.908,-4.121,0.019,0,5,45,6,0
1289,-0.008,-0.019,-0.019,-2.53,-4.378,0.027,0,5,45,6,0
1289.5,-0.013,-0.013,-0.016,-0.494,-4.426,0.033,0,5,45,6,0
1290,-0.014,-0.006,-0.014,0.948,-4.252,0.036,0,5,45,6,0
1290.5,-0.013,0,-0.012,1.309,-3.9,0.034,0,5,45,6,0
1291,-0.012,0.005,-0.011,0.555,-3.39,0.028,0,5,45,6,0
1291.5,-0.009,0.009,-0.011,-1.069,-2.755,0.019,0,5,45,6,0
1292,-0.005,0.011,-0.011,-3.013,-2.015,0.008,0,5,45,6,0
1292.5,0,0.011,-0.01,-4.784,-1.212,-0.003,0,5,45,6,0
1293,0.004,0.009,-0.009,-6.14,-0.408,-0.013,0,5,45,6,0
1293.5,0.006,0.006,-0.007,-6.875,0.346,-0.021,0,5,45,6,0
1294,0.005,0.002,-0.005,-6.891,1.002,-0.026,0,5,45,6,0
1294.5,0.003,0,-0.002,-6.323,1.51,-0.029,0,5,45,6,0
