时间,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿),年份
1990/12/19,99.98,95.79,99.98,--,--,--,49400,494311,1990
1990/12/20,104.39,99.98,104.39,4.41,4.41,4.41,8400,84992,1990
1990/12/21,109.13,103.73,109.13,4.74,4.54,5.17,1600,16096,1990
1990/12/24,114.55,109.13,114.55,5.42,4.97,4.97,3100,31063,1990
1990/12/25,120.25,114.55,120.25,5.7,4.98,4.98,600,6510,1990
1990/12/26,125.27,120.25,125.27,5.02,4.17,4.17,5300,53730,1990
1990/12/27,125.28,125.27,125.28,0.01,0.01,0.01,10400,104644,1990
1990/12/28,126.45,125.28,126.45,1.17,0.93,0.93,8800,88031,1990
1990/12/31,127.61,126.48,127.61,1.16,0.92,0.89,6000,60030,1990
1991/1/2,128.84,127.61,128.84,1.23,0.96,0.96,5900,59098,1991
1991/1/3,130.13,128.84,130.13,1.29,1,1,9300,93918,1991
1991/1/4,131.44,130.13,131.44,1.31,1.01,1.01,26100,261904,1991
1991/1/7,132.06,131.44,132.06,0.62,0.47,0.47,14100,141737,1991
1991/1/8,132.68,132.06,132.68,0.62,0.47,0.47,180600,1806867,1991
1991/1/9,133.34,132.68,133.34,0.66,0.5,0.5,322800,3228719,1991
1991/1/10,133.97,133.34,133.97,0.63,0.47,0.47,539900,5399457,1991
1991/1/11,134.61,134.51,134.6,0.63,0.47,0.07,711500,7115732,1991
1991/1/14,135.19,134.11,134.66,0.06,0.04,0.8,688300,6883604,1991
1991/1/15,134.74,134.19,134.74,0.08,0.06,0.41,101000,1010364,1991
1991/1/16,134.74,134.13,134.24,-0.5,-0.37,0.45,27000,270133,1991
1991/1/17,134.25,133.65,134.25,0.01,0.01,0.45,33400,334238,1991
1991/1/18,134.25,133.66,134.24,-0.01,-0.01,0.44,157000,1570833,1991
1991/1/21,134.24,133.66,134.24,0,0,0.43,102900,1029305,1991
1991/1/22,134.24,133.66,133.72,-0.52,-0.39,0.43,18000,180787,1991
1991/1/23,133.72,133.13,133.16,-0.56,-0.42,0.44,57500,575928,1991
1991/1/24,133.16,132.57,132.61,-0.55,-0.41,0.44,91700,917392,1991
