3ji,4ji,5ji,,,
-0.813832953,-0.740329529,-1.441805902,,,
-0.73471326,-0.640125051,-1.302603204,,,
-0.650370392,-0.5376827,-1.160743569,,,
-0.561871593,-0.433450483,-1.016592441,,,
-0.47024979,-0.327878349,-0.870515597,,,
-0.376487277,-0.221417344,-0.72287914,,,
-0.281502492,-0.114518808,-0.57404952,,,
-0.186140131,-0.007633572,-0.424393562,,,
-0.091164707,0.098788845,-0.274278503,,,
0.00274243,0.204301055,-0.124072009,,,
0.094982735,0.308458665,0.02585782,,,
0.185036979,0.410821185,0.175142492,,,
0.272458959,0.510953003,0.323413194,,,
0.356866804,0.608424439,0.470300932,,,
0.437932378,0.702812874,0.615436724,,,
0.515369293,0.793703981,0.758451869,,,
0.588920141,0.880693045,0.898978297,,,
0.658343529,0.96338639,1.036649001,,,
0.723401515,1.041402895,1.171098554,,,
0.783848043,1.114375613,1.301963734,,,
0.839418902,1.181953478,1.428884228,,,
0.889823702,1.243803091,1.551503442,,,
0.934740284,1.299610579,1.669469408,,,
0.973811876,1.349083506,1.782435779,,,
1.006647236,1.391952831,1.890062919,,,
1.03282389,1.427974882,1.992019082,,,
1.051894476,1.456933336,2.087981664,,,
1.063396091,1.478641171,2.177638537,,,
1.066862418,1.492942585,2.260689439,,,
1.061838309,1.499714838,2.336847428,,,
1.047896408,1.498869999,2.405840375,,,
1.024655301,1.490356582,2.467412488,,,
0.991798621,1.474161024,2.521325866,,,
0.94909447,1.450308996,2.567362049,,,
0.896414499,1.418866519,2.605323568,,,
0.833751963,1.379940857,2.635035473,,,
0.761238075,1.333681157,2.656346827,,,
0.679156013,1.28027884,2.669132142,,,
0.587951985,1.219967692,2.673292764,,,
0.488242809,1.153023663,2.668758161,,,
0.380819576,1.079764346,2.655487129,,,
0.266647038,1.000548137,2.633468886,,,
0.14685849,0.915773053,2.60272404,,,
0.022746035,0.82587522,2.563305423,,,
-0.104253747,0.731327017,2.515298781,,,
-0.23257858,0.632634887,2.458823299,,,
-0.360563444,0.530336819,2.394031961,,,
-0.486467291,0.424999513,2.32111173,,,
-0.608503002,0.317215234,2.240283543,,,
-0.724869958,0.207598391,2.151802112,,,
-0.833788511,0.096781839,2.055955528,,,
-0.933535559,-0.014587052,1.953064663,,,
-1.022480391,-0.125850544,1.84348237,,,
-1.099119923,-0.236344859,1.727592483,,,
-1.162112454,-0.345404649,1.605808604,,,
-1.210309066,-0.452367593,1.478572707,,,
-1.24278186,-0.556579049,1.346353529,,,
-1.258848256,-0.657396758,1.209644787,,,
-1.258090679,-0.754195529,1.068963207,,,
-1.240371057,-0.846371883,0.924846385,,,
-1.205839674,-0.933348607,0.777850478,,,
-1.154938044,-1.014579173,0.628547763,,,
-1.088395637,-1.089551983,0.477524042,,,
-1.007220403,-1.157794409,0.32537594,,,
-0.912683229,-1.218876567,0.172708094,,,
-0.806296585,-1.272414815,0.020130248,,,
-0.689787768,-1.318074912,-0.131745711,,,
-0.565067299,-1.355574834,-0.282308777,,,
-0.434193138,-1.384687191,-0.430951881,,,
-0.299331486,-1.405241239,-0.577074956,,,
-0.162715044,-1.417124452,-0.720088,,,
-0.026599664,-1.420283647,-0.859414107,,,
0.106779655,-1.414725633,-0.99449246,,,
0.235252414,-1.400517388,-1.12478125,,,
0.356754929,-1.377785752,-1.24976051,,,
0.469370361,-1.346716633,-1.368934847,,,
0.571365544,-1.307553733,-1.481836049,,,
0.661223808,-1.260596802,-1.588025553,,,
0.737673055,-1.206199433,-1.687096751,,,
0.799708472,-1.144766413,-1.778677124,,,
0.846609415,-1.076750648,-1.862430192,,,
0.877950102,-1.002649703,-1.938057255,,,
0.893603936,-0.923001958,-2.005298929,,,
0.893741409,-0.838382448,-2.06393645,,,
0.878821711,-0.749398392,-2.113792751,,,
0.849578291,-0.656684466,-2.154733298,,,
0.806998785,-0.560897856,-2.186666673,,,
0.752299838,-0.462713144,-2.209544921,,,
0.686897477,-0.362817052,-2.223363629,,,
0.612373759,-0.261903111,-2.228161769,,,
0.530440551,-0.16066629,-2.224021273,,,
0.442901291,-0.059797637,-2.211066372,,,
0.351611662,0.040021028,-2.18946269,,,
0.258440104,0.138122305,-2.159416093,,,
0.165229059,0.233858271,-2.121171319,,,
0.073757844,0.326605336,-2.075010382,,,
-0.014292042,0.415768864,-2.021250771,,,
-0.097368437,0.500787525,-1.960243452,,,
-0.174076206,0.581137336,-1.892370687,,,
-0.243200575,0.656335359,-1.818043688,,,
-0.30372569,0.725943021,-1.737700116,,,
-0.354848103,0.789569042,-1.651801451,,,
-0.395985047,0.846871936,-1.560830241,,,
-0.426777466,0.897562073,-1.465287254,,,
-0.44708792,0.941403289,-1.36568855,,,
-0.456993594,0.978214026,-1.262562498,,,
-0.456774769,1.007868014,-1.156446743,,,
-0.446899204,1.030294472,-1.047885164,,,
-0.428002988,1.045477847,-0.937424817,,,
-0.400868465,1.053457098,-0.825612909,,,
-0.366399903,1.054324528,-0.712993805,,,
-0.325597623,1.04822419,-0.600106083,,,
-0.279531295,1.03534988,-0.487479676,,,
-0.229313123,1.015942745,-0.375633096,,,
-0.176071588,0.990288526,-0.265070766,,,
-0.120926414,0.958714479,-0.156280482,,,
-0.064965329,0.921585988,-0.049731002,,,
-0.009223127,0.879302922,0.054130207,,,
0.045336545,0.83229576,0.154879061,,,
0.097836338,0.78102153,0.252116778,,,
0.147497079,0.725959592,0.345471617,,,
0.193646246,0.667607323,0.43460042,,,
0.235723028,0.606475717,0.519189962,,,
0.273280049,0.543084968,0.598958097,,,
0.305981941,0.477960057,0.673654698,,,
0.333601033,0.411626389,0.743062387,,,
0.356010493,0.344605515,0.806997059,,,
0.373175331,0.277410982,0.865308195,,,
0.385141711,0.210544331,0.917878974,,,
0.392025058,0.144491298,0.964626174,,,
0.393997458,0.079718214,1.005499884,,,
0.391274849,0.01666867,1.04048302,,,
0.384104478,-0.044239561,1.069590656,,,
0.372753081,-0.102617307,1.092869181,,,
0.35749618,-0.158106469,1.110395288,,,
0.338608839,-0.21038218,1.122274809,,,
0.316358166,-0.259154614,1.128641398,,,
0.290997743,-0.30417047,1.129655089,,,
0.262764115,-0.345214095,1.125500727,,,
0.231875366,-0.382108272,1.11638629,,,
0.198531735,-0.41471465,1.102541121,,,
0.162918147,-0.442933844,1.08421407,,,
0.125208449,-0.466705196,1.061671579,,,
0.085571089,-0.48600622,1.035195701,,,
0.044175916,-0.500851734,1.005082088,,,
0.001201724,-0.511292703,0.971637945,,,
-0.043155849,-0.517414809,0.935179976,,,
-0.088676496,-0.519336766,0.896032327,,,
-0.13510788,-0.517208406,0.85452454,,,
-0.182159174,-0.511208553,0.810989532,,,
-0.229495853,-0.501542716,0.765761609,,,
-0.276736075,-0.48844062,0.719174533,,,
-0.323448945,-0.472153608,0.671559633,,,
-0.369154864,-0.452951931,0.623243993,,,
-0.41332812,-0.431121965,0.574548712,,,
-0.455401779,-0.406963362,0.525787243,,,
-0.494774864,-0.38078618,0.477263829,,,
-0.530821729,-0.352908005,0.429272026,,,
-0.56290344,-0.323651098,0.382093334,,,
-0.59038092,-0.29333957,0.335995932,,,
-6.13E-01,-0.26229664,0.291233516,,,
-0.629054598,-0.23084196,0.248044258,,,
-0.639107821,-0.199289054,0.206649874,,,
-0.64230344,-0.167942874,0.1672548,,,
-0.638234319,-0.137097486,0.130045496,,,
-0.626587061,-0.107033913,0.09518985,,,
-0.607155764,-0.078018134,0.062836706,,,
-0.579853952,-0.050299257,0.033115495,,,
-0.544724233,-0.024107867,0.006135981,,,
-0.501945295,0.000345437,-0.018011895,,,
-0.451835941,0.022871313,-0.039258058,,,
-0.394855902,0.04330276,-0.057552254,,,
-0.331603284,0.061496001,-0.072863906,,,
-0.262808572,0.077331173,-0.08518188,,,
-0.189325234,0.090712824,-0.094514163,,,
-0.112117028,0.101570218,-0.100887472,,,
-0.032242256,0.109857455,-0.10434677,,,
0.049164743,0.115553408,-0.104954729,,,
0.130914467,0.118661484,-0.102791114,,,
0.211785015,0.119209216,-0.097952117,,,
0.290546235,0.117247693,-0.090549627,,,
0.365984657,0.112850839,-0.080710456,,,
0.436928625,0.106114542,-0.068575512,,,
0.502272989,0.09715565,-0.054298941,,,
0.561002744,0.086110841,-0.038047216,,,
0.612215002,0.073135376,-0.019998207,,,
0.655138737,0.058401735,-0.000340215,,,
0.689151763,0.042098171,0.020729025,,,
0.71379451,0.024427158,0.043003353,,,
0.72878021,0.005603773,0.06626922,,,
0.734001197,-0.014146,0.090306746,,,
0.729531144,-0.034587022,0.11489078,,,
0.715623144,-0.055476803,0.139791981,,,
0.692703639,-0.076567354,0.16477791,,,
0.661362353,-0.097607058,0.189614124,,,
0.622338433,-0.118342579,0.21406528,,,
0.576503134,-0.138520778,0.237896244,,,
0.524839481,-0.157890637,0.260873199,,,
0.468419389,-0.176205182,0.282764757,,,
0.408378818,-0.193223388,0.303343068,,,
0.345891585,-0.208712069,0.322384927,,,
0.28214248,-0.222447737,0.339672874,,,
0.218300362,-0.234218417,0.354996293,,,
0.155491916,-0.243825419,0.368152494,,,
0.094776719,-0.251085048,0.378947788,,,
0.037124241,-0.255830248,0.387198547,,,
-0.016606643,-0.257912163,0.392732249,,,
-0.065685127,-0.257201621,0.3953885,,,
-0.109522516,-0.253590505,0.395020034,,,
-0.147682484,-0.246993029,0.391493682,,,
-0.179887331,-0.237346887,0.38469132,,,
-0.206020093,-0.224614275,0.37451077,,,
-0.226122499,-0.208782775,0.360866669,,,
-0.240388851,-0.189866087,0.343691291,,,
-0.249156031,-0.167904607,0.322935314,,,
-0.252889926,-0.142965829,0.298568544,,,
-0.252168662,-0.115144573,0.270580568,,,
-0.247663124,-0.08456303,0.238981344,,,
-0.240115293,-0.05137061,0.203801719,,,
-0.230315001,-0.015743584,0.165093874,,,
-0.219075746,0.022115466,0.122931674,,,
-0.207210203,0.06197842,0.077410941,,,
-0.195506116,0.103592607,0.028649626,,,
-0.184703199,0.146681997,-0.023212125,,,
-0.175471665,0.190948623,-0.078011998,,,
-0.168392957,0.236074207,-0.135565665,,,
-0.163943181,0.281722008,-0.19566704,,,
-0.162479674,0.32753887,-0.258088666,,,
-0.164231051,0.373157467,-0.32258222,,,
-0.169290977,0.418198752,-0.38887915,,,
-0.177615816,0.462274572,-0.456691433,,,
-0.189026197,0.504990457,-0.52571248,,,
-0.203212435,0.545948559,-0.595618157,,,
-0.219743638,0.584750723,-0.666067953,,,
-0.238080247,0.621001677,-0.736706271,,,
-0.25758964,0.654312307,-0.807163857,,,
-0.277564378,0.684303012,-0.877059353,,,
-0.297242588,0.710607093,-0.946000975,,,
-0.315829916,0.732874168,-1.013588317,,,
-0.332522474,0.750773574,-1.079414258,,,
-0.346530137,0.76399773,-1.143066994,,,
-0.35709959,0.772265426,-1.204132151,,,
-0.363536483,0.775325021,-1.262195005,,,
-0.365226127,0.772957503,-1.316842777,,,
-0.361652173,0.764979385,-1.367666997,,,
-0.352412782,0.751245407,-1.41426593,,,
-0.337233864,0.731651017,-1.456247046,,,
-0.315979054,0.706134594,-1.493229524,,,
-0.288656143,0.674679382,-1.524846771,,,
-0.255419838,0.63731512,-1.55074895,,,
-0.216570748,0.594119328,-1.570605484,,,
-0.172550666,0.545218241,-1.584107541,,,
-0.123934244,0.490787352,-1.590970469,,,
-0.071417308,0.43105156,-1.590936164,,,
-0.01580211,0.366284904,-1.583775365,,,
0.042020106,0.29680987,-1.569289843,,,
0.101088758,0.222996262,-1.54731448,,,
0.160395312,0.145259635,-1.517719215,,,
0.218905845,0.064059289,-1.480410837,,,
0.275584231,-0.020104174,-1.43533462,,,
0.329415353,-0.106691717,-1.382475766,,,
0.37942779,-0.195129156,-1.321860666,,,
0.424715402,-0.284810845,-1.253557933,,,
0.464457316,-0.375103735,-1.177679231,,,
0.497935818,-0.465351791,-1.094379851,,,
0.524551755,-0.554880737,-1.003859053,,,
0.54383709,-0.643003079,-0.906360144,,,
0.555464335,-0.729023399,-0.802170304,,,
0.559252692,-0.81224385,-0.691620126,,,
0.555170773,-0.891969831,-0.575082898,,,
0.543335903,-0.96751578,-0.452973597,,,
0.524010067,-1.038211051,-0.325747611,,,
0.497592648,-1.10340581,-0.193899182,,,
0.464610192,-1.162476906,-0.057959569,,,
0.425703495,-1.214833667,0.081505045,,,
0.381612366,-1.259923552,0.223895923,,,
0.333158483,-1.297237627,0.368584391,,,
0.281226787,-1.326315787,0.5149147,,,
0.226745882,-1.346751695,0.662207118,,,
0.17066794,-1.358197364,0.809761239,,,
0.113948591,-1.360367353,0.956859497,,,
0.057527279,-1.353042515,1.102770853,,,
0.002308543,-1.336073263,1.24675465,,,
-0.05085537,-1.309382307,1.388064615,,,
-0.101180176,-1.272966833,1.525952967,,,
-0.147963188,-1.226900087,1.659674632,,,
-0.190594659,-1.171332337,1.788491518,,,
-0.228566626,-1.106491198,1.911676848,,,
-0.261479146,-1.032681297,2.028519491,,,
-0.289043842,-0.950283269,2.1383283,,,
-0.311084792,-0.859752085,2.240436404,,,
-0.327536832,-0.76161471,2.334205434,,,
-0.338441405,-0.6564671,2.419029651,,,
-0.343940177,-0.544970548,2.494339964,,,
-0.344266643,-0.427847416,2.559607782,,,
-0.339736036,-0.305876257,2.614348699,,,
-0.330733849,-0.179886382,2.658125967,,,
-0.317703323,-0.050751893,2.69055375,,,
-0.301132267,0.080614755,2.711300112,,,
-0.281539554,0.213269632,2.720089736,,,
-0.259461686,0.346244585,2.71670634,,,
-2.35E-01,0.478554804,2.700994775,,,
-0.210006938,0.609206645,2.672862792,,,
-0.183677448,0.737205645,2.632282445,,,
-0.156936087,0.861564652,2.579291138,,,
-0.130229711,0.981312006,2.513992287,,,
-0.103960093,1.0954997,2.436555599,,,
-0.078478511,1.203211439,2.347216954,,,
-0.054082077,1.303570532,2.246277889,,,
-0.031011814,1.395747549,2.134104684,,,
-0.009452421,1.478967653,2.011127043,,,
0.010466352,1.552517561,1.877836388,,,
0.028666867,1.615752056,1.73478376,,,
0.04511946,1.668099978,1.582577337,,,
0.059837215,1.709069661,1.421879592,,,
0.072869855,1.738253735,1.253404087,,,
0.084297003,1.755333259,1.07791194,,,
0.094221047,1.76008114,0.896207969,,,
0.102759867,1.752364794,0.70913654,,,
0.110039651,1.73214803,0.517577141,,,
0.116188031,1.699492125,0.322439713,,,
0.121327749,1.654556072,0.124659761,,,
0.125571023,1.597596002,-0.074806731,,,
0.129014773,1.52896377,-0.274988536,,,
0.131736824,1.449104719,-0.474904556,,,
0.133793164,1.358554622,-0.673569281,,,
0.135216314,1.257935847,-0.869998314,,,
0.136014805,1.14795275,-1.06321392,,,
0.13617376,1.029386349,-1.252250566,,,
0.135656492,0.903088314,-1.436160417,,,
0.134407066,0.769974327,-1.614018757,,,
0.13235367,0.631016863,-1.784929292,,,
0.129412691,0.487237461,-1.948029307,,,
0.125493318,0.339698544,-2.102494645,,,
0.120502515,0.189494861,-2.247544469,,,
0.114350181,0.037744626,-2.382445787,,,
0.106954334,-0.114419562,-2.506517699,,,
0.098246128,-0.265859954,-2.619135346,,,
0.088174556,-0.415442944,-2.719733534,,,
0.076710679,-0.562048342,-2.807810003,,,
0.063851257,-0.704578554,-2.882928337,,,
0.04962166,-0.841967569,-2.944720472,,,
0.034077976,-0.973189696,-2.992888804,,,
0.017308264,-1.097267949,-3.027207877,,,
-0.000567107,-1.21328203,-3.04752564,,,
-0.019396019,-1.320375816,-3.053764266,,,
-0.038996064,-1.417764305,-3.045920524,,,
-0.059156854,-1.50473994,-3.024065711,,,
-0.079643114,-1.58067827,-2.988345134,,,
-0.100198481,-1.645042895,-2.938977149,,,
-0.1205499,-1.697389647,-2.876251773,,,
-0.140412505,-1.737369976,-2.800528863,,,
-0.15949485,-1.764733514,-2.712235885,,,
-0.177504374,-1.779329791,-2.611865281,,,
-0.194152949,-1.781109096,-2.499971467,,,
-0.209162387,-1.770122475,-2.377167455,,,
-0.222269769,-1.746520866,-2.24412115,,,
-0.23323249,-1.710553393,-2.101551324,,,
-0.241832897,-1.662564822,-1.950223315,,,
-0.247882425,-1.602992215,-1.790944456,,,
-0.251225171,-1.532360826,-1.624559281,,,
-0.25174081,-1.451279244,-1.451944539,,,
-0.249346841,-1.360433881,-1.274004033,,,
-0.244000111,-1.260582808,-1.091663342,,,
-0.235697623,-1.152549034,-0.905864433,,,
-0.224476628,-1.037213273,-0.717560223,,,
-0.210414026,-0.915506271,-0.527709106,,,
-0.193625115,-0.788400768,-0.337269492,,,
-0.174261735,-0.656903164,-0.147194386,,,
-0.15250987,-0.522044965,0.041573949,,,
-0.128586777,-0.384874099,0.228109234,,,
-0.102737706,-0.246446156,0.411506257,,,
-0.075232302,-0.107815663,0.590885793,,,
-0.046360751,0.029972565,0.765399323,,,
-0.016429761,0.165891885,0.934233512,,,
0.01424156,0.298942054,1.096614439,,,
0.045325853,0.42815714,1.251811543,,,
0.07649163,0.552613044,1.399141261,,,
0.107407299,0.671434584,1.537970354,,,
0.137745057,0.783802073,1.667718875,,,
0.167184603,0.888957342,1.787862799,,,
0.19541664,0.986209163,1.897936269,,,
0.222146134,1.074938021,1.997533474,,,
0.247095321,1.154600216,2.086310136,,,
0.270006445,1.224731259,2.163984611,,,
0.290644208,1.284948536,2.23033859,,,
0.308797941,1.334953242,2.285217419,,,
0.324283497,1.374531558,2.328530023,,,
0.336944843,1.403555093,2.360248453,,,
0.346655381,1.421980578,2.380407056,,,
0.353318982,1.429848846,2.389101286,,,
0.356870736,1.427283099,2.386486165,,,
0.357277418,1.414486505,2.372774408,,,
0.354537675,1.391739148,2.348234233,,,
0.348681914,1.359394372,2.313186874,,,
0.339771907,1.317874568,2.268003821,,,
0.327900085,1.26766644,2.2131038,,,
0.313188539,1.209315809,2.148949525,,,
0.295787697,1.143422017,2.076044254,,,
0.275874701,1.070631968,1.994928153,,,
0.253651454,0.991633892,1.906174514,,,
0.229342368,0.907150872,1.810385854,,,
0.203191793,0.81793421,1.708189907,,,
0.175461166,0.724756688,1.600235553,,,
0.146425875,0.62840579,1.487188701,,,
0.116371887,0.529676943,1.369728165,,,
0.085592154,0.429366843,1.248541543,,,
0.054382855,0.328266915,1.124321142,,,
0.023039514,0.227156971,0.997759964,,,
-0.008146944,0.126799114,0.869547781,,,
-0.038894141,0.027931934,0.740367324,,,
-0.068932117,-0.068734949,0.610890604,,,
-0.098007071,-0.162525971,0.481775385,,,
-0.125884875,-0.252804286,0.353661837,,,
-0.152354298,-0.338975985,0.227169371,,,
-0.177229859,-0.420493842,0.102893687,,,
-0.200354244,-0.496860565,-0.018595965,,,
-0.221600211,-0.567631536,-0.136759285,,,
-0.240871936,-0.632417036,-0.251087188,,,
-0.258105739,-0.69088394,-0.361103819,,,
-0.273270166,-0.742756892,-0.466368313,,,
-0.2863654,-0.787818956,-0.566476296,,,
-0.297421984,-0.825911757,-0.661061121,,,
-0.306498883,-0.856935133,-0.749794857,,,
-0.313680886,-0.880846297,-0.832389002,,,
-0.319075412,-0.897658558,-0.908594953,,,
-0.322808765,-0.907439602,-0.978204223,,,
-0.32502191,-0.910309377,-1.041048409,,,
-0.325865871,-0.906437617,-1.09699894,,,
-0.325496841,-0.896041019,-1.145966582,,,
-0.324071124,-0.879380134,-1.187900744,,,
-0.321740022,-0.856755996,-1.222788574,,,
-0.318644812,-0.828506526,-1.250653873,,,
-0.314911915,-0.795002764,-1.27155583,,,
-0.310648411,-0.756644952,-1.285587601,,,
-0.305938016,-0.713858516,-1.292874743,,,
-0.300837641,-0.66708999,-1.29357352,,,
-0.29537463,-0.616802911,-1.287869099,,,
-0.289544798,-0.563473723,-1.275973646,,,
-0.283311316,-0.507587735,-1.258124352,,,
-0.276604526,-0.449635145,-1.234581384,,,
