time,high
249.5,0.552
250,0.881
250.5,1.036
251,1.006
251.5,0.814
252,0.507
252.5,0.155
253,-0.167
253.5,-0.379
254,-0.482
254.5,-0.576
255,-0.682
255.5,-0.76
256,-0.823
256.5,-0.908
257,-1.056
257.5,-1.173
258,-1.166
258.5,-1.016
259,-0.783
259.5,-0.529
260,-0.277
260.5,-0.096
261,-0.034
261.5,-0.092
262,-0.19
262.5,-0.273
263,-0.233
263.5,-0.018
264,0.284
264.5,0.627
265,0.951
265.5,1.16
266,1.172
266.5,0.997
267,0.715
267.5,0.364
268,-0.001
268.5,-0.305
269,-0.481
269.5,-0.515
270,-0.485
270.5,-0.515
271,-0.662
271.5,-0.861
272,-1.061
272.5,-1.271
273,-1.477
273.5,-1.595
274,-1.586
274.5,-1.551
275,-1.59
275.5,-1.706
276,-1.84
276.5,-2.006
277,-2.17
277.5,-2.232
278,-2.182
278.5,-2.064
279,-1.97
279.5,-1.939
280,-1.913
280.5,-1.867
281,-1.851
281.5,-1.811
282,-1.678
282.5,-1.404
283,-0.927
283.5,-0.334
284,0.319
284.5,0.926
285,1.364
285.5,1.57
286,1.554
286.5,1.403
287,1.157
287.5,0.807
288,0.408
288.5,0.116
289,-0.061
289.5,-0.13
290,-0.07
290.5,0.034
291,0.112
291.5,0.137
292,0.103
292.5,0.057
293,0.03
293.5,0.018
294,0.035
294.5,0.037
295,0.053
295.5,0.098
296,0.112
296.5,0.08
297,0.028
297.5,-0.056
298,-0.155
298.5,-0.239
299,-0.29
299.5,-0.283
300,-0.233
300.5,-0.165
301,-0.102
301.5,-0.072
302,-0.048
302.5,-0.022
303,-0.01
303.5,-0.027
304,-0.085
304.5,-0.172
305,-0.268
305.5,-0.394
306,-0.544
306.5,-0.684
307,-0.803
307.5,-0.904
308,-0.92
308.5,-0.827
309,-0.624
309.5,-0.322
310,0.07
310.5,0.496
311,0.958
311.5,1.408
312,1.791
312.5,2.043
313,2.161
313.5,2.166
314,2.121
314.5,2.065
315,2.083
315.5,2.167
316,2.287
316.5,2.362
317,2.333
317.5,2.152
318,1.856
318.5,1.5
319,1.174
319.5,0.85
320,0.575
320.5,0.402
321,0.344
321.5,0.36
322,0.422
322.5,0.469
323,0.452
323.5,0.35
324,0.269
324.5,0.306
325,0.469
325.5,0.716
326,0.921
326.5,1.075
327,1.185
327.5,1.233
328,1.268
328.5,1.301
329,1.313
329.5,1.304
330,1.257
330.5,1.176
331,1.069
331.5,0.897
332,0.654
332.5,0.383
333,0.129
333.5,0.026
334,0.041
334.5,0.161
335,0.365
335.5,0.551
336,0.697
336.5,0.793
337,0.878
337.5,0.952
338,0.991
338.5,1.016
339,1.033
339.5,1.041
340,1.076
340.5,1.144
341,1.082
341.5,0.848
342,0.475
342.5,0.036
343,-0.435
343.5,-0.884
344,-1.281
344.5,-1.647
345,-1.934
345.5,-2.152
346,-2.291
346.5,-2.329
347,-2.276
347.5,-2.189
348,-2.101
348.5,-1.958
349,-1.792
349.5,-1.596
350,-1.417
350.5,-1.238
351,-1.054
351.5,-0.76
352,-0.356
352.5,0.079
353,0.529
353.5,0.922
354,1.236
354.5,1.443
355,1.51
355.5,1.447
356,1.281
356.5,1.081
357,0.906
357.5,0.84
358,0.889
358.5,0.983
359,0.98
359.5,0.836
360,0.57
360.5,0.245
361,-0.063
361.5,-0.338
362,-0.493
362.5,-0.482
363,-0.329
363.5,-0.087
364,0.246
364.5,0.614
365,0.881
365.5,0.989
366,0.929
366.5,0.78
367,0.617
367.5,0.419
368,0.197
368.5,-0.005
369,-0.149
369.5,-0.317
370,-0.569
370.5,-0.876
371,-1.167
371.5,-1.409
372,-1.54
372.5,-1.49
373,-1.32
373.5,-1.045
374,-0.769
374.5,-0.529
375,-0.345
375.5,-0.193
376,-0.106
376.5,-0.106
377,-0.121
377.5,-0.077
378,-0.022
378.5,-0.031
379,-0.148
379.5,-0.353
380,-0.601
380.5,-0.769
381,-0.788
381.5,-0.645
382,-0.411
382.5,-0.111
383,0.166
383.5,0.373
384,0.479
384.5,0.396
385,0.186
385.5,-0.028
386,-0.117
386.5,-0.002
387,0.294
387.5,0.702
388,1.116
388.5,1.434
389,1.593
389.5,1.574
390,1.406
390.5,1.127
391,0.742
391.5,0.314
392,-0.057
392.5,-0.333
393,-0.48
393.5,-0.515
394,-0.49
394.5,-0.452
395,-0.431
395.5,-0.436
396,-0.484
396.5,-0.571
397,-0.688
397.5,-0.824
398,-0.892
398.5,-0.827
399,-0.618
399.5,-0.277
400,0.123
400.5,0.501
401,0.801
401.5,0.887
402,0.734
402.5,0.407
403,-0.008
403.5,-0.446
404,-0.841
404.5,-1.139
405,-1.225
405.5,-1.147
406,-0.936
406.5,-0.636
407,-0.223
407.5,0.227
408,0.641
408.5,1.013
409,1.419
409.5,1.821
410,2.133
410.5,2.302
411,2.327
411.5,2.221
412,1.992
412.5,1.623
413,1.186
413.5,0.776
414,0.462
414.5,0.198
415,0.024
415.5,-0.058
416,-0.113
416.5,-0.197
417,-0.335
417.5,-0.51
418,-0.703
418.5,-0.907
419,-1.083
419.5,-1.156
420,-1.084
420.5,-0.895
421,-0.644
421.5,-0.384
422,-0.151
422.5,0.017
423,0.064
423.5,-0.019
424,-0.208
424.5,-0.483
425,-0.739
425.5,-0.912
426,-0.917
426.5,-0.742
427,-0.413
427.5,-0.094
428,0.13
428.5,0.224
429,0.182
429.5,0.019
430,-0.229
430.5,-0.461
431,-0.572
431.5,-0.523
432,-0.299
432.5,0.01
433,0.33
433.5,0.575
