Éý³Á,ºá,×Ý
0.24341,-1.91791,-0.80359
0.43336,-1.82619,-0.94953
0.63274,-1.69682,-1.08943
0.83909,-1.53929,-1.21692
1.04613,-1.35606,-1.32721
1.24606,-1.14218,-1.41698
1.4345,-0.89382,-1.48319
1.60913,-0.61549,-1.52011
1.76708,-0.32161,-1.52186
1.89986,-0.02704,-1.48335
1.99545,0.25557,-1.40457
2.04317,0.52557,-1.28934
2.04044,0.78407,-1.14227
1.99367,1.0286,-0.96418
1.91244,1.25104,-0.75329
1.80222,1.44215,-0.50946
1.66178,1.59496,-0.23603
1.48633,1.70899,0.05793
1.27464,1.7881,0.36224
1.03177,1.83182,0.66846
0.76744,1.83633,0.97054
0.49052,1.79509,1.26435
0.20622,1.70697,1.54287
-0.0826,1.57828,1.79753
-0.37141,1.41917,2.02035
-0.65298,1.23684,2.20656
-0.91964,1.0331,2.35553
-1.16811,0.80728,2.46615
-1.40031,0.56095,2.53395
-1.61911,0.3002,2.55241
-1.82232,0.03493,2.51533
-2.00023,-0.2265,2.42286
-2.13931,-0.48117,2.28009
-2.22956,-0.72773,2.09547
-2.27018,-0.96256,1.87583
-2.26853,-1.17667,1.62309
-2.23407,-1.35989,1.33613
-2.17185,-1.50593,1.01574
-2.07996,-1.61546,0.66655
-1.95251,-1.69434,0.29619
-1.7854,-1.7455,-0.08483
-1.57987,-1.76444,-0.46872
-1.34315,-1.7419,-0.84815
-1.08333,-1.66955,-1.21819
-0.80668,-1.54898,-1.57311
-0.51541,-1.3919,-1.90782
-0.20964,-1.2125,-2.21436
0.10899,-1.02251,-2.48429
0.43486,-0.82261,-2.70838
0.75773,-0.60873,-2.87821
1.06555,-0.37682,-2.98802
1.34835,-0.12846,-3.03561
1.60065,0.12711,-3.02097
1.82109,0.37862,-2.94442
2.00981,0.61504,-2.80388
2.16556,0.83072,-2.59809
2.28467,1.02454,-2.32848
2.36221,1.1983,-2.0022
2.39503,1.35178,-1.63232
2.38477,1.48272,-1.23188
2.33595,1.58549,-0.81218
2.25472,1.65378,-0.38086
2.14532,1.6833,0.05602
2.01049,1.67361,0.49132
1.85213,1.63011,0.91372
1.67395,1.55912,1.31178
1.48182,1.46649,1.67641
1.28175,1.35291,2.003
1.078,1.21498,2.28932
0.87068,1.05001,2.53315
0.65776,0.86092,2.73035
0.43773,0.65718,2.87502
0.21196,0.44984,2.96367
-0.0145,0.24588,2.99614
-0.23603,0.0453,2.97609
-0.44867,-0.15821,2.90876
-0.65216,-0.36871,2.79767
-0.84921,-0.58146,2.64456
-1.04244,-0.78362,2.45071
-1.23088,-0.96234,2.21738
-1.40961,-1.11221,1.94952
-1.57166,-1.23594,1.65301
-1.71155,-1.34119,1.33533
-1.82779,-1.43043,1.00349
-1.92283,-1.49827,0.66225
-1.99914,-1.53185,0.31625
-2.05616,-1.52216,-0.03183
-2.08967,-1.46897,-0.37975
-2.09309,-1.3813,-0.72194
-2.06191,-1.26839,-1.05108
-1.99476,-1.13655,-1.35857
-1.89412,-0.9842,-1.63709
-1.76338,-0.80931,-1.88299
-1.60544,-0.61346,-2.09467
-1.42192,-0.40319,-2.27261
-1.21433,-0.18683,-2.41474
-0.98528,0.03088,-2.51692
-0.73831,0.25016,-2.57326
-0.47794,0.47103,-2.57915
-0.21005,0.68986,-2.53427
0.05853,0.8972,-2.441
0.3204,1.08539,-2.30556
0.56901,1.24946,-2.13255
0.80067,1.39145,-1.92517
1.01495,1.5145,-1.68468
1.21242,1.61794,-1.41348
1.39225,1.69547,-1.11585
1.55005,1.73942,-0.79865
1.68079,1.74505,-0.47158
1.78171,1.71576,-0.14356
1.85487,1.65896,0.17746
1.90382,1.57986,0.48766
1.93063,1.47844,0.78337
1.93282,1.35043,1.05983
1.90547,1.19379,1.31305
1.8468,1.01102,1.5381
1.76051,0.80773,1.73195
1.65289,0.59092,1.8935
1.52776,0.36578,2.02273
1.38213,0.13567,2.1195
1.21023,-0.09511,2.1811
1.00989,-0.32251,2.20497
0.78836,-0.54134,2.19144
0.5593,-0.74891,2.14465
0.33394,-0.94431,2.07271
0.11364,-1.12753,1.98247
-0.10885,-1.29454,1.87504
-0.34119,-1.43742,1.74755
-0.58118,-1.54898,1.59635
-0.81598,-1.62606,1.42064
-1.03027,-1.66865,1.22583
-1.2157,-1.6797,1.01909
-1.37392,-1.66031,0.80454
-1.51012,-1.6078,0.58124
-1.62376,-1.51901,0.34633
-1.70526,-1.3955,0.09947
-1.74205,-1.24202,-0.15375
-1.72851,-1.06623,-0.40537
-1.67094,-0.87309,-0.64777
-1.58178,-0.66417,-0.87903
-1.4691,-0.44083,-1.10089
-1.33098,-0.20464,-1.31448
-1.15854,0.03674,-1.51486
-0.94713,0.27653,-1.69328
-0.70344,0.50844,-1.83954
-0.44526,0.72773,-1.94841
-0.19145,0.93326,-2.02082
0.04704,1.12032,-2.05918
0.27022,1.28259,-2.063
0.48218,1.41466,-2.02814
0.68375,1.51405,-1.94793
0.86986,1.58279,-1.81901
1.03109,1.62358,-1.64139
1.16018,1.6371,-1.4208
1.25481,1.62042,-1.16424
1.31772,1.56814,-0.87807
1.35286,1.47957,-0.56867
1.36298,1.35786,-0.2424
1.34972,1.20912,0.09199
1.31416,1.04032,0.42575
1.25809,0.85484,0.74915
1.18452,0.65358,1.0541
1.09755,0.43925,1.33422
1.00237,0.21636,1.58378
0.90501,-0.00766,1.79784
0.80983,-0.22853,1.97292
0.71821,-0.44128,2.10629
0.62741,-0.64344,2.19526
0.53319,-0.83185,2.23744
0.43309,-1.00065,2.23012
0.32957,-1.14263,2.17171
0.23015,-1.25419,2.06411
0.14236,-1.33578,1.91228
0.07043,-1.3928,1.72399
0.01285,-1.43089,1.50738
-0.03542,-1.45162,1.26705
-0.08041,-1.45027,1.00572
-0.12485,-1.41872,0.72592
-0.16834,-1.35133,0.43068
-0.20868,-1.24811,0.12701
-0.24369,-1.11739,-0.17651
-0.2724,-0.9682,-0.47095
-0.29524,-0.80886,-0.74756
-0.31384,-0.64028,-0.99935
-0.33039,-0.45976,-1.21851
-0.34693,-0.26661,-1.399
-0.36526,-0.06423,-1.53603
-0.38563,0.13815,-1.62707
-0.40683,0.33152,-1.671
-0.42762,0.50844,-1.66893
-0.44608,0.66913,-1.62102
-0.46057,0.81562,-1.52935
-0.46905,0.94972,-1.39772
-0.46905,1.06871,-1.23188
-0.4577,1.16585,-1.04153
-0.43309,1.23639,-0.83494
-0.39411,1.27853,-0.61912
-0.33969,1.29408,-0.39933
-0.26981,1.2871,-0.17778
-0.18489,1.2587,0.04074
-0.08738,1.20754,0.24972
0.01819,1.13294,0.44166
0.12759,1.03423,0.61005
0.23726,0.91343,0.75361
0.34557,0.77393,0.87362
0.45141,0.61662,0.97373
0.55124,0.44421,1.05426
0.63876,0.2603,1.11187
0.70699,0.07054,1.14307
0.75239,-0.11652,1.14657
0.77605,-0.29681,1.12747
0.78111,-0.46674,1.09325
0.76839,-0.62721,1.05044
0.73339,-0.77979,0.99935
0.66925,-0.9229,0.93616
0.57312,-1.05158,0.85643
0.451,-1.15999,0.75918
0.31603,-1.24135,0.65127
0.18133,-1.29206,0.54002
0.05169,-1.30941,0.43052
-0.07781,-1.29566,0.32023
-0.21565,-1.25217,0.20356
-0.36403,-1.18117,0.07417
-0.51472,-1.08539,-0.06748
-0.65216,-0.96549,-0.21582
-0.76197,-0.82125,-0.36208
-0.83855,-0.65538,-0.49912
-0.88573,-0.47238,-0.62485
-0.91075,-0.27969,-0.73945
-0.91731,-0.08474,-0.84306
-0.90323,0.10908,-0.93378
-0.8633,0.30222,-1.00683
-0.79451,0.49424,-1.05712
-0.69975,0.6813,-1.081
-0.58542,0.85393,-1.07734
-0.45797,1.00336,-1.04535
-0.31999,1.12348,-0.98503
-0.17258,1.21611,-0.89606
-0.01778,1.28642,-0.77939
0.13771,1.33916,-0.63695
0.28485,1.37206,-0.4754
0.41544,1.37928,-0.30097
0.52731,1.35493,-0.12144
0.62426,1.29927,0.05921
0.71274,1.21723,0.23953
0.79465,1.11627,0.41986
0.86562,0.99975,0.59795
0.91649,0.86655,0.7673
0.9407,0.71488,0.91945
0.93865,0.54562,1.04662
0.91772,0.36262,1.14482
0.88627,0.17241,1.2158
0.84716,-0.02073,1.26244
0.79629,-0.21388,1.28567
0.72696,-0.40432,1.28074
0.63725,-0.58552,1.24254
0.53442,-0.75026,1.16869
0.43062,-0.89292,1.06381
0.33613,-1.01102,0.93696
0.25258,-1.10725,0.79674
0.17545,-1.18365,0.64522
0.09942,-1.2409,0.48161
0.02516,-1.27493,0.30542
-0.04048,-1.27989,0.1216
-0.09108,-1.25262,-0.05968
-0.12636,-1.19424,-0.22807
-0.15275,-1.1086,-0.37864
-0.17942,-1.00088,-0.51137
-0.21046,-0.87579,-0.62931
-0.24341,-0.73516,-0.73053
-0.27186,-0.58123,-0.8082
-0.2921,-0.41513,-0.85388
-0.30632,-0.2398,-0.862
-0.3204,-0.06017,-0.83462
-0.33982,0.11787,-0.77748
-0.36676,0.28983,-0.69631
-0.39958,0.45142,-0.59445
-0.43596,0.60219,-0.47477
-0.47397,0.7426,-0.34155
-0.51158,0.87264,-0.20324
-0.54481,0.99028,-0.06796
-0.56792,1.089,0.05746
-0.57571,1.16292,0.17173
-0.56546,1.21047,0.27359
-0.53688,1.23323,0.36161
-0.4912,1.23481,0.43116
-0.42857,1.21656,0.477
-0.34926,1.17667,0.49562
-0.25394,1.11221,0.4875
-0.14468,1.02364,0.45567
-0.02379,0.91478,0.40378
0.10694,0.79241,0.33535
0.2467,0.65989,0.25338
0.39343,0.51678,0.1617
0.54166,0.36059,0.06541
0.68334,0.19134,-0.03167
0.81106,0.01487,-0.12637
0.92073,-0.15911,-0.21439
1.01167,-0.32363,-0.2911
1.08347,-0.47553,-0.34967
1.13324,-0.61481,-0.38516
1.15622,-0.74328,-0.39567
1.14869,-0.85799,-0.38341
1.11095,-0.95332,-0.35126
1.04668,-1.02251,-0.30097
0.95971,-1.06421,-0.23301
0.85072,-1.07976,-0.1469
0.71875,-1.07322,-0.04631
0.56532,-1.04595,0.06191
0.39712,-0.99997,0.17173
0.22454,-0.93326,0.27853
0.05593,-0.84672,0.38293
-0.10571,-0.73967,0.48479
-0.2627,-0.61459,0.58124
-0.41627,-0.47463,0.66528
-0.56245,-0.32273,0.7299
-0.69291,-0.1652,0.77255
-0.80094,-0.00541,0.79467
-0.88545,0.1537,0.79993
-0.95,0.31237,0.79006
-0.99704,0.46922,0.76364
-1.02412,0.61932,0.71796
-1.02439,0.75635,0.65493
-0.99321,0.87264,0.57917
-0.93345,0.96549,0.49641
-0.85414,1.03581,0.40888
-0.76525,1.08855,0.31513
-0.67089,1.12438,0.21279
-0.56888,1.13903,0.10297
-0.4551,1.12731,-0.0078
-0.32957,1.08584,-0.11268
-0.19747,1.01958,-0.20595
-0.06673,0.93507,-0.28744
0.05579,0.83726,-0.35842
0.16697,0.72705,-0.41858
0.26488,0.60016,-0.46665
0.34967,0.45638,-0.49991
0.42351,0.3011,-0.51726
0.49093,0.14243,-0.52029
0.55698,-0.01082,-0.51042
0.62344,-0.15866,-0.48861
0.68676,-0.30222,-0.45615
0.74146,-0.44173,-0.41763
0.78604,-0.57042,-0.38086
0.82706,-0.6795,-0.35333
0.87561,-0.76131,-0.33916
0.93933,-0.81697,-0.3371
1.01523,-0.85529,-0.34314
1.09167,-0.88278,-0.35365
1.15758,-0.90171,-0.36877
1.21119,-0.90442,-0.38898
1.25919,-0.88301,-0.41206
1.30842,-0.83523,-0.43132
1.35587,-0.76649,-0.44039
1.38801,-0.68558,-0.43546
1.38951,-0.59836,-0.41858
1.35355,-0.50483,-0.39185
1.28394,-0.40251,-0.35237
1.18698,-0.2896,-0.2911
1.062,-0.1688,-0.19751
0.89954,-0.04778,-0.06605
0.6899,0.06784,0.09963
0.43432,0.17647,0.29062
0.14742,0.27969,0.49673
-0.15015,0.37862,0.71239
-0.44416,0.4717,0.9325
-0.72997,0.55532,1.14864
-1.00743,0.62698,1.34679
-1.27122,0.68468,1.512
-1.5078,0.7293,1.63423
-1.70294,0.76131,1.71254
-1.85118,0.77934,1.75089
-1.95839,0.78204,1.75057
-2.03442,0.76739,1.70856
-2.0816,0.73516,1.61895
-2.09117,0.68603,1.48144
-2.05042,0.62203,1.30191
-1.95333,0.5436,1.09278
-1.80701,0.45232,0.86343
-1.6254,0.3491,0.61769
-1.41932,0.23574,0.35413
-1.1904,0.11471,0.07385
-0.93427,-0.00992,-0.21693
-0.64997,-0.13612,-0.50676
-0.34488,-0.26121,-0.78512
-0.03145,-0.38155,-1.04519
0.2802,-0.49401,-1.28552
0.58638,-0.59566,-1.50308
0.88723,-0.68333,-1.69328
1.17974,-0.75545,-1.84877
1.45542,-0.81201,-1.96496
1.70294,-0.85303,-2.04056
1.91435,-0.87985,-2.07621
2.08816,-0.89112,-2.07159
2.22519,-0.88503,-2.02242
2.32364,-0.85776,-1.92342
2.37657,-0.80683,-1.77333
2.37588,-0.73449,-1.57646
2.3179,-0.64592,-1.34043
2.20508,-0.54946,-1.07352
2.04345,-0.44917,-0.77971
1.83695,-0.34595,-0.46172
1.58739,-0.23461,-0.12382
1.29844,-0.11066,0.22616
0.97954,0.02524,0.57917
0.646,0.16993,0.92566
0.31288,0.31349,1.25814
-0.01067,0.44646,1.56977
-0.32314,0.56343,1.8518
-0.62276,0.66169,2.09324
-0.90268,0.74418,2.28343
-1.14842,0.81359,2.41553
-1.34534,0.87196,2.49018
-1.48715,0.91839,2.51071
-1.57918,0.94949,2.48015
-1.63388,0.95963,2.3993
-1.66191,0.94341,2.2664
-1.66547,0.89833,2.08194
-1.64003,0.82441,1.8518
-1.58178,0.72705,1.58569
-1.49276,0.61301,1.29459
-1.38281,0.4859,0.98646
-1.26329,0.34707,0.66655
-1.14227,0.1954,0.33662
-1.02111,0.03088,-0.00016
-0.89735,-0.14176,-0.33869
-0.76826,-0.31507,-0.67069
-0.63438,-0.47982,-0.9855
-0.50023,-0.62969,-1.27485
-0.37251,-0.76288,-1.53173
-0.25723,-0.87805,-1.7528
-0.15836,-0.97586,-1.93695
-0.0759,-1.05158,-2.08274
-0.0067,-1.10207,-2.18794
0.05415,-1.12438,-2.24762
0.11145,-1.11784,-2.25717
0.16697,-1.08652,-2.215
0.2188,-1.03378,-2.12173
0.26352,-0.96053,-1.98263
0.29839,-0.86791,-1.80389
0.32355,-0.755,-1.59142
0.34187,-0.62248,-1.35061
0.3576,-0.47306,-1.08721
0.37524,-0.31146,-0.80725
0.39849,-0.14086,-0.51806
0.42953,0.03516,-0.22569
0.46878,0.21523,0.06446
0.51377,0.39575,0.34856
0.55917,0.57357,0.62087
0.59896,0.74576,0.87409
0.63028,0.91073,1.1001
0.65421,1.06556,1.29475
0.67513,1.20506,1.45645
0.69564,1.32293,1.58823
0.71219,1.41173,1.69153
0.71534,1.46694,1.76617
0.69496,1.48926,1.80819
0.64628,1.48114,1.81471
0.57325,1.44553,1.78654
0.48437,1.38175,1.72766
0.38604,1.28462,1.64489
0.27692,1.15075,1.54256
0.15042,0.98082,1.42207
0.00123,0.78227,1.28249
-0.16752,0.56523,1.12588
-0.34516,0.33693,0.95701
-0.51855,0.10119,0.78242
-0.68088,-0.14041,0.6083
-0.83335,-0.38561,0.43609
-0.98022,-0.62315,0.26372
-1.12066,-0.84086,0.08961
-1.24551,-1.02724,-0.08579
-1.34096,-1.18072,-0.25959
-1.39676,-1.3058,-0.42718
-1.41248,-1.40812,-0.58634
-1.39457,-1.48926,-0.73929
-1.34944,-1.54402,-0.8881
-1.27751,-1.56431,-1.03437
-1.17386,-1.54605,-1.17442
-1.03437,-1.49061,-1.30191
-0.86138,-1.40249,-1.41061
-0.66392,-1.28642,-1.49751
-0.45237,-1.14511,-1.56118
-0.23275,-0.97947,-1.60081
-0.00752,-0.79308,-1.61354
0.21976,-0.5925,-1.59492
0.44047,-0.38516,-1.54096
0.64163,-0.17602,-1.4512
0.8127,0.03403,-1.32737
0.95178,0.24588,-1.17188
1.06364,0.45615,-0.98455
1.15362,0.65786,-0.76284
1.2198,0.84266,-0.50739
1.25331,1.0029,-0.22346
1.24524,1.13497,0.07608
1.19478,1.2409,0.37704
1.11109,1.32203,0.66544
1.00702,1.38018,0.93457
